"iso3"	"country"	"region"	"variable"	"value"
"AUT"	"Austria"	"Western Europe"	"1820"	"2"
"BEL"	"Belgium"	"Western Europe"	"1820"	"2"
NA	"Federal Republic of Germany (until 1990)"	"Western Europe"	"1820"	"2"
"FRA"	"France"	"Western Europe"	"1820"	"2"
NA	"German Democratic Republic (until 1990)"	"Eastern Europe"	"1820"	"2"
"DEU"	"Germany"	"Western Europe"	"1820"	"2"
"LIE"	"Liechtenstein"	"Western Europe"	"1820"	"2"
"LUX"	"Luxembourg"	"Western Europe"	"1820"	"2"
"MCO"	"Monaco"	"Western Europe"	"1820"	"2"
"NLD"	"Netherlands"	"Western Europe"	"1820"	"2"
"CHE"	"Switzerland"	"Western Europe"	"1820"	"2"
"ALA"	"Åland Islands"	"Western Europe"	"1820"	"2"
NA	"Channel Islands"	"Western Europe"	"1820"	"2"
"DNK"	"Denmark"	"Western Europe"	"1820"	"2"
"EST"	"Estonia"	"Eastern Europe"	"1820"	"2"
"FRO"	"Faeroe Islands"	"Western Europe"	"1820"	"2"
"FIN"	"Finland"	"Western Europe"	"1820"	"2"
"GGY"	"Guernsey"	"Western Europe"	"1820"	"2"
"ISL"	"Iceland"	"Western Europe"	"1820"	"2"
"IRL"	"Ireland"	"Western Europe"	"1820"	"2"
"IMN"	"Isle of Man"	"Western Europe"	"1820"	"2"
"JEY"	"Jersey"	"Western Europe"	"1820"	"2"
"LVA"	"Latvia"	"Eastern Europe"	"1820"	"2"
"LTU"	"Lithuania"	"Eastern Europe"	"1820"	"2"
"NOR"	"Norway"	"Western Europe"	"1820"	"2"
NA	"Sark"	"Western Europe"	"1820"	"2"
"SJM"	"Svalbard and Jan Mayen Islands"	"Western Europe"	"1820"	"2"
"SWE"	"Sweden"	"Western Europe"	"1820"	"2"
"GBR"	"United Kingdom"	"Western Europe"	"1820"	"2"
"ALB"	"Albania"	"Eastern Europe"	"1820"	"2"
"AND"	"Andorra"	"Western Europe"	"1820"	"2"
"BIH"	"Bosnia and Herzegovina"	"Eastern Europe"	"1820"	"2"
"HRV"	"Croatia"	"Eastern Europe"	"1820"	"2"
"GIB"	"Gibraltar"	"Western Europe"	"1820"	"2"
"GRC"	"Greece"	"Western Europe"	"1820"	"2"
"VAT"	"Holy See"	"Western Europe"	"1820"	"2"
"ITA"	"Italy"	"Western Europe"	"1820"	"2"
"MLT"	"Malta"	"Western Europe"	"1820"	"2"
"MNE"	"Montenegro"	"Eastern Europe"	"1820"	"2"
"PRT"	"Portugal"	"Western Europe"	"1820"	"2"
"SMR"	"San Marino"	"Western Europe"	"1820"	"2"
"SRB"	"Serbia"	"Eastern Europe"	"1820"	"2"
NA	"Serbia and Montenegro (until 2006)"	"Eastern Europe"	"1820"	"2"
"SVN"	"Slovenia"	"Eastern Europe"	"1820"	"2"
NA	"Socialist Federal Republic of Yugoslavia (until 1992)"	"Eastern Europe"	"1820"	"2"
"ESP"	"Spain"	"Western Europe"	"1820"	"2"
"MKD"	"Former Yugoslav Republic of Macedonia"	"Eastern Europe"	"1820"	"2"
"BLR"	"Belarus"	"Eastern Europe"	"1820"	"2"
"BGR"	"Bulgaria"	"Eastern Europe"	"1820"	"2"
"CZE"	"Czech Republic"	"Eastern Europe"	"1820"	"2"
NA	"Czechoslovakia (until 1993)"	"Eastern Europe"	"1820"	"2"
"HUN"	"Hungary"	"Eastern Europe"	"1820"	"2"
"POL"	"Poland"	"Eastern Europe"	"1820"	"2"
"MDA"	"Republic of Moldova"	"Eastern Europe"	"1820"	"2"
"ROU"	"Romania"	"Eastern Europe"	"1820"	"2"
"RUS"	"Russian Federation"	"Eastern Europe"	"1820"	"2"
"SVK"	"Slovakia"	"Eastern Europe"	"1820"	"2"
"UKR"	"Ukraine"	"Eastern Europe"	"1820"	"2"
NA	"USSR (until 1991)"	"Eastern Europe"	"1820"	"2"
"BMU"	"Bermuda"	"Latin America and Caribbean"	"1820"	"3"
"CAN"	"Canada"	"Western Offshoots"	"1820"	"2"
"GRL"	"Greenland"	"Western Europe"	"1820"	"2"
"SPM"	"Saint Pierre and Miquelon"	"Latin America and Caribbean"	"1820"	"3"
"USA"	"United States of America"	"Western Offshoots"	"1820"	"2"
"AIA"	"Anguilla"	"Latin America and Caribbean"	"1820"	"3"
"ATG"	"Antigua and Barbuda"	"Latin America and Caribbean"	"1820"	"3"
"ABW"	"Aruba"	"Latin America and Caribbean"	"1820"	"3"
"BHS"	"Bahamas"	"Latin America and Caribbean"	"1820"	"3"
"BRB"	"Barbados"	"Latin America and Caribbean"	"1820"	"3"
NA	"Bonaire, Saint Eustatius and Saba"	"Latin America and Caribbean"	"1820"	"3"
"VGB"	"British Virgin Islands"	"Latin America and Caribbean"	"1820"	"3"
"CYM"	"Cayman Islands"	"Latin America and Caribbean"	"1820"	"3"
"CUB"	"Cuba"	"Latin America and Caribbean"	"1820"	"3"
"CUW"	"Curaçao"	"Latin America and Caribbean"	"1820"	"3"
"DMA"	"Dominica"	"Latin America and Caribbean"	"1820"	"3"
"DOM"	"Dominican Republic"	"Latin America and Caribbean"	"1820"	"3"
"GRD"	"Grenada"	"Latin America and Caribbean"	"1820"	"3"
"GLP"	"Guadeloupe"	"Latin America and Caribbean"	"1820"	"3"
"HTI"	"Haiti"	"Latin America and Caribbean"	"1820"	"3"
"JAM"	"Jamaica"	"Latin America and Caribbean"	"1820"	"3"
"MTQ"	"Martinique"	"Latin America and Caribbean"	"1820"	"3"
"MSR"	"Montserrat"	"Latin America and Caribbean"	"1820"	"3"
"ANT"	"Netherlands Antilles (until 2010)"	"Latin America and Caribbean"	"1820"	"3"
"PRI"	"Puerto Rico"	"Latin America and Caribbean"	"1820"	"3"
"BLM"	"Saint-Barth_lemy"	"Latin America and Caribbean"	"1820"	"3"
"KNA"	"Saint Kitts and Nevis"	"Latin America and Caribbean"	"1820"	"3"
"LCA"	"Saint Lucia"	"Latin America and Caribbean"	"1820"	"3"
"MAF"	"Saint Martin (French part)"	"Latin America and Caribbean"	"1820"	"3"
"VCT"	"Saint Vincent and the Grenadines"	"Latin America and Caribbean"	"1820"	"3"
"SXM"	"Sint Maarten (Dutch part)"	"Latin America and Caribbean"	"1820"	"3"
"TTO"	"Trinidad and Tobago"	"Latin America and Caribbean"	"1820"	"3"
