"iso3"	"country"	"region"	"variable"	"value"
"AUT"	"Austria"	"Western Europe"	"1820"	3
"BEL"	"Belgium"	"Western Europe"	"1820"	3
NA	"Federal Republic of Germany (until 1990)"	"Western Europe"	"1820"	3
"FRA"	"France"	"Western Europe"	"1820"	3
NA	"German Democratic Republic (until 1990)"	"Eastern Europe"	"1820"	3
"DEU"	"Germany"	"Western Europe"	"1820"	3
"LIE"	"Liechtenstein"	"Western Europe"	"1820"	3
"LUX"	"Luxembourg"	"Western Europe"	"1820"	3
"MCO"	"Monaco"	"Western Europe"	"1820"	3
"NLD"	"Netherlands"	"Western Europe"	"1820"	3
"CHE"	"Switzerland"	"Western Europe"	"1820"	3
"ALA"	"Åland Islands"	"Western Europe"	"1820"	3
NA	"Channel Islands"	"Western Europe"	"1820"	3
"DNK"	"Denmark"	"Western Europe"	"1820"	3
"EST"	"Estonia"	"Eastern Europe"	"1820"	3
"FRO"	"Faeroe Islands"	"Western Europe"	"1820"	3
"FIN"	"Finland"	"Western Europe"	"1820"	3
"GGY"	"Guernsey"	"Western Europe"	"1820"	3
"ISL"	"Iceland"	"Western Europe"	"1820"	3
"IRL"	"Ireland"	"Western Europe"	"1820"	3
"IMN"	"Isle of Man"	"Western Europe"	"1820"	3
"JEY"	"Jersey"	"Western Europe"	"1820"	3
"LVA"	"Latvia"	"Eastern Europe"	"1820"	3
"LTU"	"Lithuania"	"Eastern Europe"	"1820"	3
"NOR"	"Norway"	"Western Europe"	"1820"	3
NA	"Sark"	"Western Europe"	"1820"	3
"SJM"	"Svalbard and Jan Mayen Islands"	"Western Europe"	"1820"	3
"SWE"	"Sweden"	"Western Europe"	"1820"	3
"GBR"	"United Kingdom"	"Western Europe"	"1820"	3
"ALB"	"Albania"	"Eastern Europe"	"1820"	3
"AND"	"Andorra"	"Western Europe"	"1820"	3
"BIH"	"Bosnia and Herzegovina"	"Eastern Europe"	"1820"	3
"HRV"	"Croatia"	"Eastern Europe"	"1820"	3
"GIB"	"Gibraltar"	"Western Europe"	"1820"	3
"GRC"	"Greece"	"Western Europe"	"1820"	3
"VAT"	"Holy See"	"Western Europe"	"1820"	3
"ITA"	"Italy"	"Western Europe"	"1820"	3
"MLT"	"Malta"	"Western Europe"	"1820"	3
"MNE"	"Montenegro"	"Eastern Europe"	"1820"	3
"PRT"	"Portugal"	"Western Europe"	"1820"	3
"SMR"	"San Marino"	"Western Europe"	"1820"	3
"SRB"	"Serbia"	"Eastern Europe"	"1820"	3
NA	"Serbia and Montenegro (until 2006)"	"Eastern Europe"	"1820"	3
"SVN"	"Slovenia"	"Eastern Europe"	"1820"	3
NA	"Socialist Federal Republic of Yugoslavia (until 1992)"	"Eastern Europe"	"1820"	3
"ESP"	"Spain"	"Western Europe"	"1820"	3
"MKD"	"Former Yugoslav Republic of Macedonia"	"Eastern Europe"	"1820"	3
"BLR"	"Belarus"	"Eastern Europe"	"1820"	3
"BGR"	"Bulgaria"	"Eastern Europe"	"1820"	3
